onada,target,tipus,web,que_demanem,url_a_enllacar,contacte,estat,data_contacte,resposta,enllac_obtingut
1,Time Chamber,Partner,https://www.timechamber.es/,Enllaç des de la seva web al campus,https://cbgrupbarna.info/campus/,,pendent,,,
1,Westfield Glòries,Partner,https://www.westfield.com/es/spain/glories,Menció i enllaç a la pàgina d'esdeveniments/comunitat,https://cbgrupbarna.info/3x3/,,pendent,,,
1,L'Aquàrium de Barcelona,Partner,https://www.aquariumbcn.com/,Enllaç a l'apartat de col·laboracions,https://cbgrupbarna.info/,,pendent,,,
1,Illa Fantasia,Partner,https://illafantasia.com/,Enllaç a col·laboradors,https://cbgrupbarna.info/campus/,,pendent,,,
1,Mercat dels Encants,Partner,https://encantsbarcelona.com/,Menció i enllaç a projectes de barri,https://cbgrupbarna.info/,,pendent,,,
1,Instax · Fujifilm,Partner,https://instax.eu/es/,Menció de la col·laboració,https://cbgrupbarna.info/,,pendent,,,
1,Panteres Grogues,Partner,https://www.panteresgrogues.org/,Enllaç a entitats col·laboradores,https://cbgrupbarna.info/,,pendent,,,
1,Eix Clot,Partner,https://www.eixclot.cat/,Enllaç a entitats del barri,https://cbgrupbarna.info/,,pendent,,,
1,Eix Comercial Sant Martí,Partner,https://www.santmartieix.com/,Enllaç a entitats del barri,https://cbgrupbarna.info/,,pendent,,,
1,Fundació Mullor,Partner,https://fundaciomullor.org/,Enllaç a projectes que donen suport,https://cbgrupbarna.info/,,pendent,,,
1,Globasket (GBK),Partner,https://globasket.com/,Enllaç a clubs col·laboradors,https://cbgrupbarna.info/campus/,,pendent,,,
1,Aquamiga,Partner,https://aquamiga.com/,Enllaç a col·laboradors,https://cbgrupbarna.info/,,pendent,,,
1,Armand Optics,Partner,https://armandoptics.com/,Enllaç a col·laboradors,https://cbgrupbarna.info/,,pendent,,,
1,Centre Bac de Roda (clínica dental),Partner,https://centrebacderoda.com/,Enllaç a col·laboradors,https://cbgrupbarna.info/,,pendent,,,
1,Foto Jane,Partner,https://www.fotojane.es/,Enllaç a col·laboradors,https://cbgrupbarna.info/fotos/,,pendent,,,
1,Herbolaris Montserrat,Partner,https://www.herbolarismontserrat.com/,Enllaç a col·laboradors,https://cbgrupbarna.info/,,pendent,,,
1,Manual Color,Partner,https://www.manualcolor.com/,Enllaç a col·laboradors,https://cbgrupbarna.info/,,pendent,,,
1,Melosa Hamburgueseria,Partner,https://melosa.co/,Enllaç a col·laboradors,https://cbgrupbarna.info/,,pendent,,,
1,Romeo Abogados,Partner,https://www.romeoabogados.com/,Enllaç a col·laboradors,https://cbgrupbarna.info/,,pendent,,,
1,Stepback Podologia,Partner,https://www.stepbackpodologia.es/,Enllaç a col·laboradors,https://cbgrupbarna.info/,,pendent,,,
1,Nova Farmàcia del Clot,Partner,,Menció al seu web o xarxes si en tenen,https://cbgrupbarna.info/,,pendent,,,
1,Ovella Negra,Partner,,Menció al seu web o xarxes si en tenen,https://cbgrupbarna.info/,,pendent,,,
1,Tot Salut,Partner,,Menció al seu web o xarxes si en tenen,https://cbgrupbarna.info/,,pendent,,,
2,Famílies del campus,Ressenyes,,Ressenya a Google cada setmana de campus,,Coordinació de campus,rutina,,,
3,FCBQ,Institucional,https://www.basquetcatala.cat/,Fitxa de club amb web i llistat de campus,https://cbgrupbarna.info/campus/,,pendent,,,
3,Fundació del Bàsquet Català,Institucional,,Alta al llistat de campus i casals,https://cbgrupbarna.info/campus/,,pendent,,,
3,Districte de Sant Martí,Institucional,,Agenda i butlletí de districte,https://cbgrupbarna.info/campus/,,pendent,,,
3,Ajuntament · activitats d'estiu,Institucional,,Alta a la convocatòria anual,https://cbgrupbarna.info/campus/,,pendent,,,
3,Ajuntament · agenda de Nadal,Institucional,,Alta de l'activitat de Nadal,https://cbgrupbarna.info/campus-nadal-basquet-barcelona/,,pendent,,,
3,Consell de l'Esport Escolar de Barcelona,Institucional,,Fitxa d'entitat,https://cbgrupbarna.info/,,pendent,,,
4,Guia Clot,Premsa,,Nota amb la dada de l'edició,https://cbgrupbarna.info/campus/,,pendent,,,
4,betevé · districtes,Premsa,https://beteve.cat/,Nota amb la dada de l'edició,https://cbgrupbarna.info/campus/,,pendent,,,
4,Sortim amb Nens,Portal famílies,,Alta de l'activitat,https://cbgrupbarna.info/campus/,,pendent,,,
4,Time Out Kids Barcelona,Portal famílies,,Alta de l'activitat,https://cbgrupbarna.info/campus/,,pendent,,,
4,AFA escoles del Clot i Camp de l'Arpa,Comunitat,,Cartell i menció al butlletí,https://cbgrupbarna.info/campus/,,pendent,,,
5,Wikidata,Entitat,https://www.wikidata.org/,Crear l'ítem del club amb fonts,https://cbgrupbarna.info/,,pendent,,,
5,Apple Business Connect,Directori,,Fitxa amb NAP idèntic,https://cbgrupbarna.info/,,pendent,,,
5,Bing Places,Directori,,Fitxa amb NAP idèntic,https://cbgrupbarna.info/,,pendent,,,
5,OpenStreetMap,Directori,,Node de La Nau del Clot amb web,https://cbgrupbarna.info/,,pendent,,,
6,Javier Torralba,Ex-club,,Entrevista al blog i menció des del seu club,https://cbgrupbarna.info/historia/,,pendent,,,
6,Ainhoa López,Ex-club,,Entrevista al blog i menció des del seu club,https://cbgrupbarna.info/historia/,,pendent,,,
6,Roger Fornas,Ex-club,,Entrevista al blog,https://cbgrupbarna.info/historia/,,pendent,,,
6,David Mejía,Ex-club,,Entrevista al blog,https://cbgrupbarna.info/historia/,,pendent,,,
