data,hora,local,visitant,resultat,categoria,instalacio
2026-09-26,19:30,C.B GRUP BARNA B,CB TONA A,,C.C. PRIMERA CATEGORIA FEMENINA,NAU PARC CLOT (CANTONADA C/ LLACUNA Nº. 170 (08018))
2026-10-03,17:15,CEIGRUP CB BLANES A,C.B GRUP BARNA B,,C.C. PRIMERA CATEGORIA FEMENINA,"CIUTAT ESPORTIVA BLANES (MAS CUNI, 43 (17300))"
2026-10-10,17:15,JAC SANTS BARCELONA,C.B GRUP BARNA B,,C.C. PRIMERA CATEGORIA FEMENINA,CENTRE ESPORTIU LA BORDETA (NOGUERA PALLARESA 34-42 (08014))
2026-10-17,19:30,C.B GRUP BARNA B,CEB SANT JORDI BLAU,,C.C. PRIMERA CATEGORIA FEMENINA,NAU PARC CLOT (CANTONADA C/ LLACUNA Nº. 170 (08018))
2026-10-25,17:45,CB VALL D'EN BAS 1,C.B GRUP BARNA B,,C.C. PRIMERA CATEGORIA FEMENINA,CENTRE ESPORTIU D'EN BAS (C/ PISCINA S/N (17176))
2026-11-07,19:30,C.B GRUP BARNA B,CBU LLORET RECREATIVOS LLORET,,C.C. PRIMERA CATEGORIA FEMENINA,NAU PARC CLOT (CANTONADA C/ LLACUNA Nº. 170 (08018))
2026-11-14,17:45,PROMOVIATGES CBF CERDANYOLA B,C.B GRUP BARNA B,,C.C. PRIMERA CATEGORIA FEMENINA,"PARC ESPORTIU MUNICIPAL GUIERA (AV. GUIERA, 6-8 (08290))"
2026-11-21,19:30,C.B GRUP BARNA B,UE HORTA A,,C.C. PRIMERA CATEGORIA FEMENINA,NAU PARC CLOT (CANTONADA C/ LLACUNA Nº. 170 (08018))
2026-11-28,18:00,CLUB BÀSQUET ARGENTONA,C.B GRUP BARNA B,,C.C. PRIMERA CATEGORIA FEMENINA,"PAVELLO D'ESPORTS D'ARGENTONA (CTRA. VILASSAR, S/N (08310))"
2026-12-12,19:30,C.B GRUP BARNA B,CAMPING BIANYA ROSER B,,C.C. PRIMERA CATEGORIA FEMENINA,NAU PARC CLOT (CANTONADA C/ LLACUNA Nº. 170 (08018))
2026-12-19,17:45,CB OLOT OLOTINOX,C.B GRUP BARNA B,,C.C. PRIMERA CATEGORIA FEMENINA,PAVELLO MUNICIPAL D'ESPORTS D'OLOT (AV. REPUBLICA ARGENTINA S/N (17800))
2027-01-09,19:30,C.B GRUP BARNA B,SESE B,,C.C. PRIMERA CATEGORIA FEMENINA,NAU PARC CLOT (CANTONADA C/ LLACUNA Nº. 170 (08018))
2027-01-17,12:30,CN CALDES,C.B GRUP BARNA B,,C.C. PRIMERA CATEGORIA FEMENINA,PAV. MUNICIPAL LES CREMADES (ZONA ESPORTIVA (PISCINES) (08140))
2027-01-23,17:45,CB TONA A,C.B GRUP BARNA B,,C.C. PRIMERA CATEGORIA FEMENINA,"PAVELLO MUNICIPAL TONA (JAUME BALMES, S/N (08551))"
2027-01-30,19:30,C.B GRUP BARNA B,CEIGRUP CB BLANES A,,C.C. PRIMERA CATEGORIA FEMENINA,NAU PARC CLOT (CANTONADA C/ LLACUNA Nº. 170 (08018))
2027-02-06,19:30,C.B GRUP BARNA B,JAC SANTS BARCELONA,,C.C. PRIMERA CATEGORIA FEMENINA,NAU PARC CLOT (CANTONADA C/ LLACUNA Nº. 170 (08018))
2027-02-13,18:00,CEB SANT JORDI BLAU,C.B GRUP BARNA B,,C.C. PRIMERA CATEGORIA FEMENINA,PAV. C.E.B. SANT JORDI (CERVANTES S/N (ESC.MONTSERRAT) (08191))
2027-02-27,19:30,C.B GRUP BARNA B,CB VALL D'EN BAS 1,,C.C. PRIMERA CATEGORIA FEMENINA,NAU PARC CLOT (CANTONADA C/ LLACUNA Nº. 170 (08018))
2027-03-06,17:45,CBU LLORET RECREATIVOS LLORET,C.B GRUP BARNA B,,C.C. PRIMERA CATEGORIA FEMENINA,"PAVELLO MUNICIPAL EL MOLI DE LLORET DE MAR (AVINGUDA DE RIERAL, S/N (17310))"
2027-03-13,19:30,C.B GRUP BARNA B,PROMOVIATGES CBF CERDANYOLA B,,C.C. PRIMERA CATEGORIA FEMENINA,NAU PARC CLOT (CANTONADA C/ LLACUNA Nº. 170 (08018))
2027-04-03,18:45,UE HORTA A,C.B GRUP BARNA B,,C.C. PRIMERA CATEGORIA FEMENINA,U.E. HORTA (FELIU I CODINA 27 (08031))
2027-04-10,19:30,C.B GRUP BARNA B,CLUB BÀSQUET ARGENTONA,,C.C. PRIMERA CATEGORIA FEMENINA,NAU PARC CLOT (CANTONADA C/ LLACUNA Nº. 170 (08018))
2027-04-18,11:15,CAMPING BIANYA ROSER B,C.B GRUP BARNA B,,C.C. PRIMERA CATEGORIA FEMENINA,"POL.MUNICIPAL ESTACIO DEL NORD (NAPOLS, 42 (08018))"
2027-04-24,19:30,C.B GRUP BARNA B,CB OLOT OLOTINOX,,C.C. PRIMERA CATEGORIA FEMENINA,NAU PARC CLOT (CANTONADA C/ LLACUNA Nº. 170 (08018))
2027-05-08,19:30,SESE B,C.B GRUP BARNA B,,C.C. PRIMERA CATEGORIA FEMENINA,"PAVELLO MUNICIPAL VIRREI AMAT (JUAN ALCOVER, 6 (08031))"
2027-05-15,19:30,C.B GRUP BARNA B,CN CALDES,,C.C. PRIMERA CATEGORIA FEMENINA,NAU PARC CLOT (CANTONADA C/ LLACUNA Nº. 170 (08018))
