ordre,club,compte_ig,compte_tiktok,seguidors_ig,seguidors_tiktok,data,nota
1,CB Grup Barna,@cbgrupbarna,@cbgrupbarna,,,,nosaltres
2,SESE,,,,,,rival de paritat al barri
3,CB Roser,,,,,,tradicio i marca sobria
4,UE Horta Basquet,,,,,,seccio dins club poliesportiu
5,FC Barcelona Basquet,@fcbbasket,,,,,sostre de referencia
6,Joventut Badalona,@penya1930,,,,,base mes gran de Catalunya (53 equips)
7,Basquet Manresa,,,,,,club ACB catala
8,Fundacio Basquet Girona,,,,,,23 equips de base
9,Spar Girona,@unigirona,,,,,referencia femenina catalana
10,Pau Gasol Academy,@academypaugasol,,,,,rival en campus i formatiu
