id,keyword,idioma,plataforma,data,sortim_si_no,posicio_barna,url_o_perfil_nostre,rival_1,rival_2,rival_3,captura,notes
K001,club de basquet a Barcelona,ca,G,,,,,,,,,
K001,club de basquet a Barcelona,ca,IA,,,,,,,,,
K002,club de basquet base Barcelona,ca,G,,,,,,,,,
K002,club de basquet base Barcelona,ca,IA,,,,,,,,,
K003,basquet base Barcelona,ca,G,,,,,,,,,
K003,basquet base Barcelona,ca,IG,,,,,,,,,
K003,basquet base Barcelona,ca,TT,,,,,,,,,
K003,basquet base Barcelona,ca,IA,,,,,,,,,
K004,clubs de basquet de Barcelona,ca,G,,,,,,,,,
K004,clubs de basquet de Barcelona,ca,IA,,,,,,,,,
K005,on jugar a basquet a Barcelona,ca,G,,,,,,,,,
K005,on jugar a basquet a Barcelona,ca,IA,,,,,,,,,
K006,club de baloncesto en Barcelona,es,G,,,,,,,,,
K006,club de baloncesto en Barcelona,es,IA,,,,,,,,,
K007,baloncesto base Barcelona,es,G,,,,,,,,,
K007,baloncesto base Barcelona,es,IG,,,,,,,,,
K007,baloncesto base Barcelona,es,TT,,,,,,,,,
K007,baloncesto base Barcelona,es,IA,,,,,,,,,
K008,clubes de baloncesto Barcelona,es,G,,,,,,,,,
K008,clubes de baloncesto Barcelona,es,IA,,,,,,,,,
K009,donde jugar baloncesto en Barcelona,es,G,,,,,,,,,
K009,donde jugar baloncesto en Barcelona,es,IA,,,,,,,,,
K010,baloncesto cerca de mi,es,G,,,,,,,,,
K011,basketball club Barcelona,en,G,,,,,,,,,
K011,basketball club Barcelona,en,IA,,,,,,,,,
K012,basquet al Clot,ca,G,,,,,,,,,
K012,basquet al Clot,ca,IG,,,,,,,,,
K012,basquet al Clot,ca,TT,,,,,,,,,
K012,basquet al Clot,ca,IA,,,,,,,,,
K013,club de basquet El Clot,ca,G,,,,,,,,,
K013,club de basquet El Clot,ca,IA,,,,,,,,,
K014,basquet Sant Marti,ca,G,,,,,,,,,
