id,keyword,idioma,familia,intencio,plataformes,url_objectiu,prioritat,rival_previst
K001,club de basquet a Barcelona,ca,CLUB,descobriment,G+IA,/,1,clubs grans + directoris FCBQ
K002,club de basquet base Barcelona,ca,CLUB,descobriment,G+IA,/,1,clubs de barri + basquetcatala
K003,basquet base Barcelona,ca,CLUB,descobriment,G+IG+TT+IA,/,1,clubs de barri + comptes de highlights
K004,clubs de basquet de Barcelona,ca,CLUB,comparacio,G+IA,/posicionament/,2,directoris + llistes de clubs
K005,on jugar a basquet a Barcelona,ca,CLUB,descobriment,G+IA,/,2,Ajuntament + directoris
K006,club de baloncesto en Barcelona,es,CLUB,descobriment,G+IA,/,1,clubs grans + directoris
K007,baloncesto base Barcelona,es,CLUB,descobriment,G+IG+TT+IA,/,1,clubs de barri
K008,clubes de baloncesto Barcelona,es,CLUB,comparacio,G+IA,/posicionament/,2,directoris + llistes
K009,donde jugar baloncesto en Barcelona,es,CLUB,descobriment,G+IA,/,2,Ajuntament + directoris
K010,baloncesto cerca de mi,es,CLUB,descobriment,G,/,2,Maps: qualsevol club del radi
K011,basketball club Barcelona,en,CLUB,descobriment,G+IA,/,3,clubs internacionals + expats
K012,basquet al Clot,ca,GEO,descobriment,G+IG+TT+IA,/,1,cap rival clar: territori nostre
K013,club de basquet El Clot,ca,GEO,descobriment,G+IA,/,1,entitats del barri
K014,basquet Sant Marti,ca,GEO,descobriment,G+IA,/blog/basquet-base-sant-marti-clot/,1,clubs del districte
K015,baloncesto Sant Marti Barcelona,es,GEO,descobriment,G+IA,/blog/basquet-base-sant-marti-clot/,1,clubs del districte
K016,baloncesto El Clot,es,GEO,descobriment,G+IA,/,1,entitats del barri
K017,basquet Poblenou,ca,GEO,descobriment,G,/,2,clubs veins
K018,basquet Glories,ca,GEO,descobriment,G+IG,/3x3/,2,Westfield + esdeveniments
K019,clubs esportius Sant Marti,ca,GEO,descobriment,G+IA,/club/,2,altres esports del districte
K020,esport per a nens al Clot,ca,GEO,descobriment,G+IA,/escoleta/,2,altres entitats del barri
K021,escola de basquet Barcelona,ca,ESCOLA,descobriment,G+IA,/escoleta/,1,escoles privades + Barca Escola
K022,escoleta de basquet Barcelona,ca,ESCOLA,descobriment,G+IA,/escoleta/,1,clubs amb escoleta
K023,basquet per a nens 4 anys Barcelona,ca,ESCOLA,transaccional,G+IA,/escoleta/,1,escoles esportives + casals
K024,basquet per a nenes 5 anys Barcelona,ca,ESCOLA,transaccional,G+IA,/escoleta/,1,escoles esportives
K025,iniciacio al basquet Barcelona,ca,ESCOLA,descobriment,G+IA,/escoleta/,2,escoles esportives
K026,escuela de baloncesto Barcelona,es,ESCOLA,descobriment,G+IA,/escoleta/,1,escoles privades + Barca
K027,escuela de baloncesto para ninos Barcelona,es,ESCOLA,transaccional,G+IA,/escoleta/,1,escoles esportives
K028,baloncesto para ninos de 4 anos Barcelona,es,ESCOLA,transaccional,G+IA,/escoleta/,1,escoles esportives + casals
K029,baloncesto infantil Barcelona,es,ESCOLA,descobriment,G+IG+IA,/escoleta/,1,clubs + academies
K030,apuntar a mi hijo a baloncesto Barcelona,es,ESCOLA,transaccional,G+IA,/escoleta/,1,clubs amb inscripcio oberta
K031,apuntar a mi hija a baloncesto Barcelona,es,ESCOLA,transaccional,G+IA,/basquet-femeni/,1,clubs amb seccio femenina
K032,basketball school Barcelona kids,en,ESCOLA,descobriment,G+IA,/escoleta/,3,escoles internacionals
