ordre,id,keyword,idioma,plataforma,url_objectiu,pregunta_que_respon,data,sortim_si_no,posicio_barna,rival_1,rival_2,rival_3,captura,notes
1,K002,club de basquet base Barcelona,ca,G,/,,,,,,,,,
2,K003,basquet base Barcelona,ca,G,/,,,,,,,,,
3,K021,escola de basquet Barcelona,ca,G,/escoleta/,,,,,,,,,
4,K039,campus de basquet Barcelona,ca,G,/campus/,,,,,,,,,
5,K047,basquet femeni Barcelona,ca,G,/basquet-femeni/,,,,,,,,,
6,K012,basquet al Clot,ca,G,/,,,,,,,,,
7,K033,academia de basquet Barcelona,ca,G,/,,,,,,,,,
8,K057,basquet inclusiu Barcelona,ca,G,/magics/,,,,,,,,,
9,K007,baloncesto base Barcelona,es,G,/,,,,,,,,,
10,K026,escuela de baloncesto Barcelona,es,G,/escoleta/,,,,,,,,,
11,K040,campus de baloncesto Barcelona,es,G,/campus/,,,,,,,,,
12,K048,baloncesto femenino Barcelona,es,G,/es/baloncesto-femenino/,,,,,,,,,
13,K034,academia de baloncesto Barcelona,es,G,/,,,,,,,,,
14,K028,baloncesto para ninos de 4 anos Barcelona,es,G,/escoleta/,,,,,,,,,
15,K031,apuntar a mi hija a baloncesto Barcelona,es,G,/basquet-femeni/,,,,,,,,,
16,K015,baloncesto Sant Marti Barcelona,es,G,/blog/basquet-base-sant-marti-clot/,,,,,,,,,
17,K110,basquet barcelona,ca,IG,perfil @cbgrupbarna,,,,,,,,,
18,K111,baloncesto barcelona,es,IG,perfil @cbgrupbarna,,,,,,,,,
19,K112,basquet clot,ca,IG,perfil @cbgrupbarna,,,,,,,,,
20,K114,basquet femeni,ca,IG,perfil @cbgrupbarna,,,,,,,,,
21,K116,campus basquet,ca,IG,posts de campus,,,,,,,,,
22,K120,somclot,ca,IG,perfil @cbgrupbarna,,,,,,,,,
23,K125,baloncesto barcelona,es,TT,perfil @cbgrupbarna,,,,,,,,,
24,K126,baloncesto base,es,TT,perfil @cbgrupbarna,,,,,,,,,
25,K127,campus de baloncesto,es,TT,videos de campus,,,,,,,,,
26,K129,entrenamiento baloncesto ninos,es,TT,videos d'entreno,,,,,,,,,
27,K134,cb grup barna,ca,TT,perfil @cbgrupbarna,,,,,,,,,
28,K136,a quin club de basquet apunto la meva filla a Barcelona,ca,IA,/basquet-femeni/,,,,,,,,,
29,K137,mejor club de baloncesto base en Barcelona,es,IA,/,,,,,,,,,
30,K139,donde apuntar a un nino de 5 anos a baloncesto en Barcelona,es,IA,/escoleta/,,,,,,,,,
